Date,Time,Open,High,Low,Close
2022-12-18,00:00,6761.673,6793.815,6752.086,6778.479
2022-12-19,00:00,6778.583,6814.745,6769.784,6785.700
2022-12-20,00:00,6785.979,6829.265,6783.200,6822.684
2022-12-21,00:00,6822.679,6825.116,6758.384,6764.976
2022-12-22,00:00,6764.899,6794.905,6741.750,6748.253
2022-12-23,00:00,6748.094,6784.016,6742.452,6761.701
2022-12-24,00:00,6761.830,6767.355,6663.190,6671.235
2022-12-25,00:00,6671.192,6708.712,6661.227,6704.394
2022-12-26,00:00,6704.309,6719.754,6676.039,6690.783
2022-12-27,00:00,6690.539,6715.834,6671.867,6680.057
2022-12-28,00:00,6680.204,6719.647,6676.929,6694.680
2022-12-29,00:00,6694.852,6753.488,6666.176,6750.965
2022-12-30,00:00,6750.967,6767.802,6712.109,6746.473
2022-12-31,00:00,6746.518,6783.959,6746.518,6766.467
2023-01-01,00:00,6766.645,6774.937,6717.377,6733.096
2023-01-02,00:00,6733.120,6746.124,6696.529,6702.929
2023-01-03,00:00,6702.795,6707.511,6648.249,6659.321
2023-01-04,00:00,6659.309,6697.548,6648.419,6661.502
2023-01-05,00:00,6661.300,6685.740,6645.263,6660.137
2023-01-06,00:00,6659.830,6663.062,6613.574,6622.359
2023-01-07,00:00,6622.362,6648.320,6603.806,6639.939
2023-01-08,00:00,6640.226,6653.205,6565.239,6584.974
2023-01-09,00:00,6585.099,6601.429,6566.814,6574.281
2023-01-10,00:00,6574.093,6583.452,6534.646,6534.961
2023-01-11,00:00,6535.183,6563.546,6518.383,6559.464
2023-01-12,00:00,6559.600,6565.297,6525.634,6529.987
2023-01-13,00:00,6530.363,6551.673,6511.781,6548.828
2023-01-14,00:00,6548.562,6561.289,6521.166,6525.562
2023-01-15,00:00,6525.880,6591.080,6513.790,6576.333
2023-01-16,00:00,6576.213,6651.401,6568.835,6624.053
2023-01-17,00:00,6623.921,6665.061,6603.473,6632.656
2023-01-18,00:00,6632.885,6659.726,6623.658,6643.552
2023-01-19,00:00,6643.722,6689.351,6641.766,6657.208
2023-01-20,00:00,6657.053,6712.068,6649.646,6686.659
2023-01-21,00:00,6686.549,6700.424,6648.300,6658.224
2023-01-22,00:00,6658.286,6672.219,6617.195,6619.019
2023-01-23,00:00,6618.870,6635.788,6578.042,6595.314
2023-01-24,00:00,6595.248,6645.559,6591.516,6638.523
2023-01-25,00:00,6638.357,6713.936,6630.884,6706.914
2023-01-26,00:00,6706.820,6732.950,6673.408,6679.964
2023-01-27,00:00,6680.186,6707.238,6670.928,6694.226
2023-01-28,00:00,6694.032,6694.345,6647.670,6664.922
2023-01-29,00:00,6664.666,6770.705,6662.188,6748.557
2023-01-30,00:00,6748.479,6758.316,6706.907,6743.026
2023-01-31,00:00,6742.977,6776.938,6727.876,6741.593
2023-02-01,00:00,6741.668,6757.445,6688.116,6702.048
