Date,Time,Open,High,Low,Close
2023-02-28,08:00,6600.025,6605.827,6585.536,6592.262
2023-02-28,16:00,6592.065,6620.110,6586.923,6617.158
2023-03-01,00:00,6617.136,6627.761,6584.498,6596.041
2023-03-01,08:00,6596.441,6606.191,6578.359,6587.760
2023-03-01,16:00,6588.078,6615.148,6578.593,6614.918
2023-03-02,00:00,6615.291,6635.341,6606.333,6623.373
2023-03-02,08:00,6623.374,6646.998,6621.226,6625.645
2023-03-02,16:00,6626.014,6627.584,6592.375,6609.951
2023-03-03,00:00,6610.095,6610.623,6586.205,6587.460
2023-03-03,08:00,6587.660,6602.414,6578.867,6590.856
2023-03-03,16:00,6590.763,6593.075,6560.409,6570.806
2023-03-04,00:00,6570.670,6583.048,6556.927,6565.672
2023-03-04,08:00,6565.959,6602.923,6551.555,6596.544
2023-03-04,16:00,6596.685,6602.954,6580.015,6588.858
2023-03-05,00:00,6588.801,6605.765,6584.522,6595.282
2023-03-05,08:00,6595.153,6612.535,6582.822,6591.265
2023-03-05,16:00,6591.269,6591.928,6555.012,6555.542
2023-03-06,00:00,6555.346,6572.722,6551.846,6570.676
2023-03-06,08:00,6570.733,6574.925,6547.457,6553.694
2023-03-06,16:00,6553.727,6572.275,6531.699,6533.888
2023-03-07,00:00,6533.914,6540.994,6519.271,6540.132
2023-03-07,08:00,6540.122,6564.255,6530.022,6549.364
2023-03-07,16:00,6548.992,6551.239,6518.409,6537.674
2023-03-08,00:00,6537.721,6549.241,6513.836,6515.368
2023-03-08,08:00,6515.090,6516.666,6455.038,6457.106
2023-03-08,16:00,6457.279,6482.769,6452.355,6464.451
2023-03-09,00:00,6464.553,6515.322,6461.928,6514.297
2023-03-09,08:00,6514.225,6525.365,6482.610,6492.977
2023-03-09,16:00,6492.814,6504.723,6477.012,6489.863
2023-03-10,00:00,6489.860,6516.946,6486.940,6511.059
2023-03-10,08:00,6511.234,6512.471,6492.844,6504.009
2023-03-10,16:00,6503.957,6522.136,6503.178,6519.360
2023-03-11,00:00,6519.576,6528.468,6494.127,6497.534
2023-03-11,08:00,6497.523,6504.359,6477.994,6479.512
2023-03-11,16:00,6479.306,6498.156,6469.743,6481.487
2023-03-12,00:00,6481.434,6499.940,6474.778,6488.772
2023-03-12,08:00,6488.693,6489.715,6448.752,6453.293
2023-03-12,16:00,6453.378,6457.247,6428.206,6432.605
2023-03-13,00:00,6432.528,6446.892,6412.894,6439.526
2023-03-13,08:00,6439.600,6440.647,6415.322,6437.659
2023-03-13,16:00,6437.650,6453.676,6430.563,6442.298
2023-03-14,00:00,6442.244,6442.727,6422.877,6437.722
2023-03-14,08:00,6437.262,6438.977,6401.630,6417.355
2023-03-14,16:00,6417.382,6422.033,6407.270,6408.577
2023-03-15,00:00,6408.559,6444.121,6401.926,6442.995
2023-03-15,08:00,6442.898,6484.789,6441.945,6483.208
2023-03-15,16:00,6483.016,6483.233,6441.922,6444.935
2023-03-16,00:00,6445.231,6451.732,6434.824,6439.808
2023-03-16,08:00,6439.922,6492.560,6438.481,6492.560
2023-03-16,16:00,6492.370,6499.564,6471.004,6496.224
2023-03-17,00:00,6496.091,6502.707,6470.755,6471.243
2023-03-17,08:00,6471.242,6486.326,6425.996,6428.044
2023-03-17,16:00,6427.909,6428.414,6396.194,6400.705
2023-03-18,00:00,6400.671,6411.017,6372.866,6376.592
2023-03-18,08:00,6376.635,6379.435,6363.256,6375.350
2023-03-18,16:00,6375.453,6381.490,6359.406,6377.147
2023-03-19,00:00,6377.322,6395.328,6373.960,6381.172
2023-03-19,08:00,6381.142,6400.548,6378.351,6382.577
2023-03-19,16:00,6382.683,6385.687,6357.300,6375.953
2023-03-20,00:00,6375.788,6380.132,6353.514,6375.657
2023-03-20,08:00,6375.809,6393.566,6372.333,6380.384
2023-03-20,16:00,6380.538,6393.124,6364.349,6382.596
2023-03-21,00:00,6382.778,6415.545,6381.641,6409.228
2023-03-21,08:00,6409.458,6425.061,6407.450,6417.991
2023-03-21,16:00,6417.951,6448.631,6416.020,6437.654
