Date,Time,Open,High,Low,Close
2022-12-18,00:00,577515.65,582500.44,563516.83,567851.75
2022-12-19,00:00,567925.35,571900.87,550394.28,551518.30
2022-12-20,00:00,551592.50,552710.84,526186.83,532028.84
2022-12-21,00:00,532035.74,557566.21,531967.20,554525.21
2022-12-22,00:00,554584.33,568360.69,549886.53,555829.36
2022-12-23,00:00,555836.87,567029.79,548993.87,554320.47
2022-12-24,00:00,554403.77,563987.38,547491.96,549661.33
2022-12-25,00:00,549669.43,565752.10,534914.60,565666.45
2022-12-26,00:00,565670.48,571881.03,553952.20,554533.85
2022-12-27,00:00,554631.51,595506.99,552928.90,591538.96
2022-12-28,00:00,591609.22,608262.71,590340.79,591956.98
2022-12-29,00:00,591994.07,593033.34,571743.46,577812.83
2022-12-30,00:00,577716.59,595408.34,572100.47,590988.91
2022-12-31,00:00,591052.59,604447.80,587501.07,602782.61
2023-01-01,00:00,602833.85,608346.42,593626.14,602098.34
2023-01-02,00:00,602130.90,607200.32,592006.05,604506.22
2023-01-03,00:00,604572.39,612215.08,586330.33,591970.35
2023-01-04,00:00,591914.14,607818.37,584849.84,592796.54
2023-01-05,00:00,592818.08,619906.72,591654.13,612092.42
2023-01-06,00:00,612020.73,613267.67,600104.81,604923.96
2023-01-07,00:00,604923.11,608647.38,593358.21,602076.49
2023-01-08,00:00,602122.83,619410.35,594641.84,605859.27
2023-01-09,00:00,605900.35,613059.44,561511.62,565062.12
2023-01-10,00:00,565035.63,571755.82,555111.39,564970.84
2023-01-11,00:00,564967.75,578183.12,564110.13,572876.37
2023-01-12,00:00,572848.42,578011.09,548654.94,555449.14
2023-01-13,00:00,555488.03,564558.21,545619.56,557980.58
2023-01-14,00:00,557970.67,563773.39,546954.08,549839.93
2023-01-15,00:00,549857.43,574902.13,544452.51,551397.61
2023-01-16,00:00,551384.13,556455.96,533313.44,539208.60
2023-01-17,00:00,539215.91,572050.42,537210.61,569127.96
2023-01-18,00:00,569121.26,577544.19,557745.71,576432.08
2023-01-19,00:00,576397.17,578548.50,548175.92,559663.77
2023-01-20,00:00,559695.21,585347.43,558403.68,582537.33
2023-01-21,00:00,582533.23,593581.30,579388.03,589449.89
2023-01-22,00:00,589382.34,598455.45,578273.44,579721.71
2023-01-23,00:00,579758.11,604065.31,565492.44,603790.78
2023-01-24,00:00,603752.14,610507.79,596886.11,606267.76
2023-01-25,00:00,606485.92,615395.14,603723.57,607673.74
2023-01-26,00:00,607708.94,607789.50,587428.74,592437.39
2023-01-27,00:00,592471.73,595189.48,563533.54,572005.04
2023-01-28,00:00,572162.94,586578.67,570331.42,573905.26
2023-01-29,00:00,573910.79,605886.85,569446.57,604144.88
2023-01-30,00:00,604036.23,612233.09,597283.88,600450.68
2023-01-31,00:00,600553.38,620761.00,596515.99,614828.34
2023-02-01,00:00,614756.86,615499.50,595724.57,613472.55
2023-02-02,00:00,613513.42,621041.10,590376.00,595789.96
2023-02-03,00:00,595833.69,607977.01,587222.92,598358.00
2023-02-04,00:00,598334.91,619296.33,578751.18,612987.99
2023-02-05,00:00,613028.00,627694.28,609536.21,624574.46
2023-02-06,00:00,624540.01,648544.34,621342.32,626592.43
2023-02-07,00:00,626615.38,632118.05,598502.94,602988.07
2023-02-08,00:00,602964.26,632750.45,602801.45,630970.85
2023-02-09,00:00,630872.24,639551.99,622886.56,637580.29
2023-02-10,00:00,637568.91,642125.57,605695.54,617037.68
2023-02-11,00:00,617073.28,622314.59,602984.06,621647.71
2023-02-12,00:00,621660.25,645581.41,614865.19,620458.80
2023-02-13,00:00,620458.17,626770.15,602653.07,602786.20
2023-02-14,00:00,602818.38,606168.89,584848.00,595030.83
2023-02-15,00:00,595008.57,598744.96,578832.12,594744.74
2023-02-16,00:00,594685.61,607846.02,572755.75,573127.37
2023-02-17,00:00,573204.56,585520.73,556785.99,559655.53
2023-02-18,00:00,559638.40,577640.70,547812.40,576678.60
2023-02-19,00:00,576704.77,584295.33,564186.15,579436.12
2023-02-20,00:00,579423.48,579662.41,555779.22,568552.93
2023-02-21,00:00,568609.01,572875.86,547976.63,567631.40
2023-02-22,00:00,567655.58,572640.95,558319.71,570373.27
2023-02-23,00:00,570263.07,584587.23,556420.46,559273.08
2023-02-24,00:00,559297.58,572162.37,557912.24,567921.77
2023-02-25,00:00,567924.37,584602.74,558432.49,563151.16
2023-02-26,00:00,563148.37,586440.15,562857.99,585633.31
2023-02-27,00:00,585687.65,588326.50,560736.67,570447.78
2023-02-28,00:00,570381.02,573242.60,555967.84,562093.74
2023-03-01,00:00,562058.55,588578.57,561687.18,587940.11
2023-03-02,00:00,587967.12,606268.04,585380.57,602611.29
2023-03-03,00:00,602636.10,603745.76,580044.37,583230.36
2023-03-04,00:00,583319.09,610541.94,581111.30,599076.06
2023-03-05,00:00,599103.67,608163.86,588116.60,596733.40
2023-03-06,00:00,596720.15,635214.89,593303.83,618240.22
2023-03-07,00:00,618269.50,619208.70,598437.25,613781.75
2023-03-08,00:00,613791.22,633263.67,611731.33,620172.92
2023-03-09,00:00,620137.25,628811.40,609436.56,620513.67
2023-03-10,00:00,620543.79,652203.75,620166.34,651836.89
2023-03-11,00:00,651749.91,656805.59,627435.12,633824.56
2023-03-12,00:00,633715.54,643979.73,627096.13,632431.45
2023-03-13,00:00,632411.66,652732.60,624826.97,651160.67
2023-03-14,00:00,651173.23,668750.93,640875.46,667385.88
2023-03-15,00:00,667336.86,680719.02,645573.30,647386.57
2023-03-16,00:00,647373.77,665366.95,635377.14,660873.78
2023-03-17,00:00,660781.02,685734.05,660140.79,678657.62
2023-03-18,00:00,678543.34,683429.91,664438.05,671686.76
2023-03-19,00:00,671676.72,686360.49,659143.31,683955.70
2023-03-20,00:00,683952.75,688151.12,647619.94,648381.23
2023-03-21,00:00,648444.81,662521.88,641317.71,650680.90
2023-03-22,00:00,650657.74,659910.54,638957.17,643136.05
2023-03-23,00:00,643118.33,649953.43,632171.98,635611.17
