Date,Time,Open,High,Low,Close
2023-02-28,08:00,569828.55,573242.60,560440.05,561732.03
2023-02-28,16:00,561732.21,564160.27,555967.84,562093.74
2023-03-01,00:00,562058.55,575742.20,561687.18,573900.15
2023-03-01,08:00,573973.10,587737.59,573128.49,582227.62
2023-03-01,16:00,582280.49,588578.57,576757.30,587940.11
2023-03-02,00:00,587967.12,601450.06,585380.57,595735.06
2023-03-02,08:00,595807.06,597394.73,587180.22,590052.94
2023-03-02,16:00,590013.21,606268.04,588764.76,602611.29
2023-03-03,00:00,602636.10,603745.76,584381.03,589926.85
2023-03-03,08:00,589889.55,600225.78,587056.80,588650.18
2023-03-03,16:00,588636.68,593122.10,580044.37,583230.36
2023-03-04,00:00,583319.09,602514.55,581111.30,599028.15
2023-03-04,08:00,599066.68,610541.94,598827.84,604974.56
2023-03-04,16:00,604968.53,607603.11,597573.44,599076.06
2023-03-05,00:00,599103.67,602497.79,588116.60,593987.36
2023-03-05,08:00,593922.15,605742.29,591349.62,600220.48
2023-03-05,16:00,600337.74,608163.86,595415.91,596733.40
2023-03-06,00:00,596720.15,614364.17,593303.83,613608.67
2023-03-06,08:00,613616.91,634795.71,613009.24,633639.49
2023-03-06,16:00,633607.84,635214.89,617452.81,618240.22
2023-03-07,00:00,618269.50,619208.70,608109.10,612572.21
2023-03-07,08:00,612585.40,612966.62,598731.28,601556.94
2023-03-07,16:00,601637.95,616542.79,598437.25,613781.75
2023-03-08,00:00,613791.22,632408.56,611731.33,627820.69
2023-03-08,08:00,627935.42,633263.67,620108.80,625508.33
2023-03-08,16:00,625497.01,630825.55,615666.10,620172.92
2023-03-09,00:00,620137.25,628811.40,611140.94,611460.71
2023-03-09,08:00,611408.64,623293.75,609436.56,620219.71
2023-03-09,16:00,620212.58,625211.58,615209.52,620513.67
2023-03-10,00:00,620543.79,639664.83,620166.34,637476.24
2023-03-10,08:00,637487.12,642666.83,631466.64,640832.65
2023-03-10,16:00,640802.30,652203.75,635042.56,651836.89
2023-03-11,00:00,651749.91,656805.59,636180.17,640380.27
2023-03-11,08:00,640410.72,652003.08,637835.16,643138.75
2023-03-11,16:00,643136.84,644783.62,627435.12,633824.56
2023-03-12,00:00,633715.54,643979.73,631391.78,633390.18
2023-03-12,08:00,633477.15,642393.90,629063.46,638189.07
2023-03-12,16:00,638136.96,639199.60,627096.13,632431.45
2023-03-13,00:00,632411.66,640845.93,629128.30,629793.65
2023-03-13,08:00,629841.61,648012.15,624826.97,646325.20
2023-03-13,16:00,646300.69,652732.60,639346.33,651160.67
2023-03-14,00:00,651173.23,657421.88,646995.68,653948.55
2023-03-14,08:00,653834.18,662091.51,643018.99,645494.33
2023-03-14,16:00,645485.84,668750.93,640875.46,667385.88
2023-03-15,00:00,667336.86,680719.02,665406.25,672279.53
2023-03-15,08:00,672299.04,675940.68,647496.42,649147.95
2023-03-15,16:00,649085.46,656765.89,645573.30,647386.57
2023-03-16,00:00,647373.77,652209.33,635377.14,644251.11
2023-03-16,08:00,644243.02,655681.32,641952.14,651413.98
2023-03-16,16:00,651458.57,665366.95,644349.95,660873.78
2023-03-17,00:00,660781.02,681410.71,660140.79,679238.70
2023-03-17,08:00,679245.11,682849.66,667933.44,673175.25
2023-03-17,16:00,673118.60,685734.05,670308.49,678657.62
2023-03-18,00:00,678543.34,679613.44,664438.05,673455.19
2023-03-18,08:00,673410.80,682191.44,670169.53,675408.07
2023-03-18,16:00,675399.27,683429.91,668648.38,671686.76
2023-03-19,00:00,671676.72,677917.73,659143.31,664296.75
2023-03-19,08:00,664252.18,685955.44,663475.33,681882.83
2023-03-19,16:00,681822.31,686360.49,676830.60,683955.70
2023-03-20,00:00,683952.75,688151.12,673323.52,675451.11
2023-03-20,08:00,675496.91,675616.62,663117.48,664656.41
2023-03-20,16:00,664623.58,673313.10,647619.94,648381.23
2023-03-21,00:00,648444.81,659002.78,641317.71,658137.21
2023-03-21,08:00,658225.14,662521.88,652294.53,652346.12
2023-03-21,16:00,652307.23,656055.25,646524.42,650680.90
2023-03-22,00:00,650657.74,659910.54,647260.24,648366.47
2023-03-22,08:00,648292.95,649630.83,639523.84,649232.44
2023-03-22,16:00,649232.01,655835.67,638957.17,643136.05
2023-03-23,00:00,643118.33,644266.09,632171.98,643141.81
2023-03-23,08:00,643100.31,649953.43,640713.10,646987.53
2023-03-23,16:00,646962.23,647232.42,635043.13,635611.17
2023-03-24,00:00,635565.96,641050.98,631991.22,634266.89
2023-03-24,08:00,634298.52,640347.54,628811.71,629214.52
2023-03-24,16:00,629151.19,640898.21,621093.35,639016.14
2023-03-25,00:00,639010.72,642607.97,627889.33,637341.72
2023-03-25,08:00,637377.43,646979.37,629084.35,642168.50
2023-03-25,16:00,642188.37,650199.41,630008.41,635457.31
2023-03-26,00:00,635500.46,641410.63,630799.73,641326.84
2023-03-26,08:00,641262.15,648974.93,633220.32,648066.94
2023-03-26,16:00,648088.97,652393.26,642246.47,645246.48
2023-03-27,00:00,645260.25,647791.90,635879.47,646239.25
2023-03-27,08:00,646132.93,646858.00,633425.73,639131.54
2023-03-27,16:00,639102.28,640021.03,628959.16,629115.57
2023-03-28,00:00,629139.79,654070.83,625849.89,648441.12
2023-03-28,08:00,648441.95,655762.88,645579.06,651690.74
