Date,Time,Open,High,Low,Close
2023-04-16,19:30,1091.68,1093.68,1082.49,1083.50
2023-04-16,19:45,1083.48,1087.23,1079.41,1084.54
2023-04-16,20:00,1084.10,1090.16,1083.91,1088.24
2023-04-16,20:15,1088.35,1089.61,1080.88,1082.67
2023-04-16,20:30,1082.56,1083.07,1076.53,1077.96
2023-04-16,20:45,1078.03,1081.32,1073.69,1074.72
2023-04-16,21:00,1074.66,1082.74,1074.66,1079.82
2023-04-16,21:15,1079.99,1081.95,1075.01,1081.76
2023-04-16,21:30,1081.36,1085.08,1074.59,1075.51
2023-04-16,21:45,1075.77,1083.64,1075.34,1078.24
2023-04-16,22:00,1077.95,1082.31,1077.19,1077.96
2023-04-16,22:15,1077.99,1092.30,1077.99,1090.61
2023-04-16,22:30,1090.64,1095.42,1090.02,1091.51
2023-04-16,22:45,1091.24,1099.31,1090.44,1094.79
2023-04-16,23:00,1094.91,1097.52,1092.21,1095.06
2023-04-16,23:15,1094.73,1106.49,1094.68,1104.48
2023-04-16,23:30,1104.34,1110.88,1102.98,1110.22
2023-04-16,23:45,1110.23,1118.85,1109.89,1117.23
2023-04-17,00:00,1117.38,1127.73,1116.63,1125.56
2023-04-17,00:15,1125.76,1136.35,1125.39,1126.12
2023-04-17,00:30,1125.80,1134.31,1124.33,1132.15
2023-04-17,00:45,1131.83,1139.90,1127.42,1138.97
2023-04-17,01:00,1138.60,1143.04,1126.87,1128.00
2023-04-17,01:15,1128.14,1135.38,1126.43,1134.09
2023-04-17,01:30,1134.00,1137.58,1130.05,1134.83
2023-04-17,01:45,1134.97,1135.30,1127.07,1130.03
2023-04-17,02:00,1129.87,1132.02,1121.33,1123.37
2023-04-17,02:15,1123.19,1127.82,1118.62,1123.74
2023-04-17,02:30,1123.69,1127.34,1116.03,1116.72
2023-04-17,02:45,1116.64,1119.38,1112.23,1116.87
2023-04-17,03:00,1116.48,1123.38,1115.54,1122.96
2023-04-17,03:15,1123.03,1125.46,1120.89,1122.92
2023-04-17,03:30,1122.62,1128.35,1119.27,1126.04
2023-04-17,03:45,1125.72,1134.62,1124.51,1129.22
2023-04-17,04:00,1129.43,1136.12,1128.85,1133.80
2023-04-17,04:15,1134.04,1146.71,1132.50,1144.79
2023-04-17,04:30,1144.76,1153.54,1144.76,1149.97
2023-04-17,04:45,1149.86,1151.78,1144.98,1146.71
2023-04-17,05:00,1146.83,1150.03,1141.18,1141.57
2023-04-17,05:15,1141.76,1146.42,1135.24,1138.58
2023-04-17,05:30,1138.88,1144.97,1136.54,1136.71
2023-04-17,05:45,1136.67,1143.91,1136.10,1136.70
2023-04-17,06:00,1136.50,1141.76,1134.46,1139.75
2023-04-17,06:15,1140.00,1147.94,1139.42,1143.11
2023-04-17,06:30,1143.07,1146.85,1140.32,1143.10
2023-04-17,06:45,1143.00,1143.79,1131.68,1137.54
2023-04-17,07:00,1137.47,1142.20,1133.71,1137.58
2023-04-17,07:15,1137.44,1138.07,1130.40,1133.86
2023-04-17,07:30,1133.98,1141.21,1133.17,1134.98
2023-04-17,07:45,1135.07,1144.73,1134.55,1140.14
2023-04-17,08:00,1139.96,1153.58,1139.15,1152.49
2023-04-17,08:15,1152.17,1153.89,1147.46,1152.86
2023-04-17,08:30,1153.01,1161.28,1150.96,1161.28
2023-04-17,08:45,1161.47,1163.51,1155.24,1157.14
2023-04-17,09:00,1157.02,1164.21,1152.77,1163.12
2023-04-17,09:15,1163.25,1163.25,1154.41,1155.41
2023-04-17,09:30,1155.48,1167.84,1154.14,1166.99
2023-04-17,09:45,1167.04,1172.70,1163.05,1171.05
2023-04-17,10:00,1171.35,1185.35,1170.97,1183.15
2023-04-17,10:15,1183.08,1194.23,1182.69,1190.98
2023-04-17,10:30,1191.01,1193.08,1184.34,1187.37
2023-04-17,10:45,1187.13,1188.50,1177.40,1180.54
2023-04-17,11:00,1180.09,1182.81,1175.07,1179.80
