Date,Time,Open,High,Low,Close
2023-04-16,19:30,1989.789,1994.201,1989.400,1992.641
2023-04-16,19:45,1992.660,1993.995,1989.729,1991.121
2023-04-16,20:00,1991.021,1991.853,1988.797,1991.522
2023-04-16,20:15,1991.471,1993.657,1988.875,1990.536
2023-04-16,20:30,1990.433,1991.436,1988.833,1989.388
2023-04-16,20:45,1989.261,1989.560,1986.492,1987.035
2023-04-16,21:00,1986.902,1989.118,1984.440,1986.156
2023-04-16,21:15,1986.217,1988.747,1986.069,1987.080
2023-04-16,21:30,1987.038,1988.234,1984.786,1986.188
2023-04-16,21:45,1986.194,1986.739,1982.748,1983.921
2023-04-16,22:00,1984.095,1984.234,1981.238,1982.059
2023-04-16,22:15,1982.001,1983.037,1979.506,1982.536
2023-04-16,22:30,1982.546,1985.014,1981.581,1983.975
2023-04-16,22:45,1983.860,1985.358,1981.846,1983.200
2023-04-16,23:00,1983.043,1985.267,1980.135,1980.643
2023-04-16,23:15,1980.629,1984.870,1979.575,1979.593
2023-04-16,23:30,1979.214,1981.419,1978.026,1981.117
2023-04-16,23:45,1981.056,1982.645,1980.039,1980.792
2023-04-17,00:00,1980.799,1982.714,1979.587,1980.394
2023-04-17,00:15,1980.341,1983.144,1979.340,1981.637
2023-04-17,00:30,1981.474,1982.155,1977.844,1978.793
2023-04-17,00:45,1978.948,1980.034,1977.317,1979.797
2023-04-17,01:00,1979.712,1981.399,1976.992,1981.022
2023-04-17,01:15,1980.972,1987.573,1980.516,1987.185
2023-04-17,01:30,1987.347,1991.019,1986.187,1990.399
2023-04-17,01:45,1990.552,1993.932,1990.552,1992.505
2023-04-17,02:00,1992.472,1993.428,1989.698,1991.461
2023-04-17,02:15,1991.516,1995.097,1991.516,1994.473
2023-04-17,02:30,1994.603,1997.533,1994.075,1996.552
2023-04-17,02:45,1996.347,1997.431,1993.459,1995.224
2023-04-17,03:00,1995.220,1996.756,1994.087,1996.626
2023-04-17,03:15,1996.780,1998.435,1995.559,1996.360
2023-04-17,03:30,1996.364,1998.366,1995.397,1996.740
2023-04-17,03:45,1996.894,1997.593,1992.562,1995.811
2023-04-17,04:00,1996.009,1999.167,1995.105,1997.315
